,cvxopt
2,0.0013592243194580078
3,0.0010199546813964844
4,0.002131938934326172
5,0.0016741752624511719
6,0.0016210079193115234
7,0.0015549659729003906
8,0.00162506103515625
9,0.0017359256744384766
10,0.0019538402557373047
11,0.002351045608520508
12,0.0024161338806152344
13,0.0027229785919189453
14,0.0032880306243896484
15,0.0030570030212402344
16,0.003567934036254883
17,0.004348039627075195
18,0.005239725112915039
19,0.005263805389404297
20,0.004118919372558594
21,0.0048961639404296875
22,0.0049130916595458984
23,0.006002187728881836
24,0.007423877716064453
25,0.006700992584228516
26,0.008118867874145508
27,0.010471105575561523
28,0.008702993392944336
29,0.010527849197387695
30,0.010774612426757812
31,0.011898994445800781
32,0.012386798858642578
33,0.011240959167480469
34,0.011217117309570312
35,0.013776063919067383
36,0.013406038284301758
37,0.01400899887084961
38,0.021059036254882812
39,0.016820907592773438
40,0.016011953353881836
41,0.016610145568847656
42,0.01590585708618164
43,0.016591787338256836
44,0.016188859939575195
45,0.017457246780395508
46,0.018924951553344727
47,0.018654823303222656
48,0.020730257034301758
49,0.020487070083618164
50,0.021406888961791992
51,0.023499011993408203
52,0.022060871124267578
53,0.024047136306762695
54,0.028248071670532227
55,0.024801254272460938
56,0.02438187599182129
57,0.031136035919189453
58,0.028756141662597656
59,0.030303001403808594
60,0.03316092491149902
61,0.03850674629211426
62,0.043884992599487305
63,0.04581785202026367
64,0.04634380340576172
65,0.03778409957885742
66,0.042836904525756836
67,0.039877891540527344
68,0.04372406005859375
69,0.047946929931640625
70,0.04673194885253906
71,0.05291104316711426
72,0.053571224212646484
73,0.053481340408325195
74,0.0519108772277832
75,0.054038047790527344
76,0.05261707305908203
77,0.0538179874420166
78,0.06028008460998535
79,0.05597400665283203
80,0.06311607360839844
81,0.06293606758117676
82,0.0654149055480957
83,0.07054686546325684
84,0.06602811813354492
85,0.06927990913391113
86,0.07059788703918457
87,0.06826090812683105
88,0.0815589427947998
89,0.07820320129394531
90,0.08042597770690918
91,0.08912491798400879
92,0.08861780166625977
93,0.07760787010192871
94,0.09412717819213867
95,0.09248995780944824
96,0.09389305114746094
97,0.08957600593566895
98,0.09148192405700684
99,0.09542179107666016
