,non-sparse,sparse
10,0.0006110668182373047,0.0006793022155761718
20,0.0007472991943359375,0.0010798215866088868
30,0.0007962465286254882,0.0012004613876342774
40,0.001182699203491211,0.0017134666442871094
50,0.0012111186981201172,0.001948976516723633
60,0.0014360666275024414,0.002203679084777832
70,0.0015717744827270508,0.003501439094543457
80,0.0021760940551757814,0.0033014774322509765
90,0.0026383161544799804,0.0067130327224731445
100,0.0030509471893310548,0.005266332626342773
110,0.0028814077377319336,0.005960583686828613
120,0.0031746387481689452,0.006257242626614041
130,0.003920104768541124,0.008156031370162964
140,0.004214555025100708,0.010599749428885323
150,0.00613818849836077,0.020597378412882488
160,0.007452766100565593,0.021086692810058594
170,0.007385158538818359,0.017012715339660645
180,0.01196223497390747,0.023616313934326172
190,0.009250799814860025,0.024244070053100586
200,0.00908803939819336,0.021832942962646484
210,0.008642911911010742,0.019736051559448242
220,0.009485960006713867,0.04584193229675293
230,0.010863065719604492,0.03032207489013672
240,0.010750055313110352,0.030863285064697266
250,0.011641979217529297,0.033756256103515625
260,0.012006044387817383,0.036882877349853516
270,0.01304173469543457,0.03787088394165039
280,0.02569413185119629,0.04996824264526367
290,0.019936084747314453,0.05378293991088867
300,0.016871929168701172,0.05675482749938965
310,0.030530929565429688,0.06718730926513672
320,0.023150920867919922,0.07269620895385742
330,0.01739811897277832,0.06676888465881348
340,0.024426937103271484,0.07615518569946289
350,0.01995086669921875,0.06429004669189453
360,0.03292393684387207,0.06708192825317383
370,0.023166894912719727,0.08128571510314941
380,0.022050142288208008,0.08199882507324219
390,0.02935004234313965,0.08696818351745605
400,0.02840280532836914,0.1123971939086914
410,0.029985904693603516,0.10168886184692383
420,0.030450820922851562,0.13881826400756836
430,0.03327679634094238,0.1369171142578125
440,0.03310823440551758,0.14387083053588867
450,0.03702712059020996,0.13113689422607422
460,0.03870892524719238,0.13837122917175293
470,0.03786182403564453,0.13401412963867188
480,0.04146409034729004,0.15940618515014648
490,0.04047727584838867,0.15894460678100586
